1.jpg,Ear Ring: Green Flower,200,250,Small
10.jpg,Necklace Ear Ring Combo: Pearl Antique,600,700,Large
2.jpg,Ear Ring: Red Flower,250,300,Small
3.jpg,Ear Ring: Black Flower,300,300,Small
4.jpg,Ear Ring: Light Green Square,400,450,Medium
